lp_id,lp_name,country,cable_count
minamiboso-japan,"Minamiboso, Japan",Japan,4
sriracha-thailand,"Sriracha, Thailand",Thailand,4
vung-tau-vietnam,"Vung Tau, Vietnam",Vietnam,4
athens-greece,"Athens, Greece",Greece,4
sines-portugal,"Sines, Portugal",Portugal,4
kuala-tungkal-indonesia,"Kuala Tungkal, Indonesia",Indonesia,4
kuching-malaysia,"Kuching, Malaysia",Malaysia,4
kendari-indonesia,"Kendari, Indonesia",Indonesia,4
blackpool-united-kingdom,"Blackpool, United Kingdom",United Kingdom,4
davao-philippines,"Davao, Philippines",Philippines,4
naha-japan,"Naha, Japan",Japan,4
manama-bahrain,"Manama, Bahrain",Bahrain,4
abu-dhabi-united-arab-emirates,"Abu Dhabi, United Arab Emirates",United Arab Emirates,4
blaabjerg-denmark,"Blaabjerg, Denmark",Denmark,4
wall-township-nj-united-states,"Wall Township, NJ, United States",United States,4
makaha-hi-united-states,"Makaha, HI, United States",United States,4
maputo-mozambique,"Maputo, Mozambique",Mozambique,4
maria-chiquita-panama,"Maria Chiquita, Panama",Panama,4
kawaihae-hi-united-states,"Kawaihae, HI, United States",United States,4
amanzimtoti-south-africa,"Amanzimtoti, South Africa",South Africa,4
port-said-egypt,"Port Said, Egypt",Egypt,4
honiara-solomon-islands,"Honiara, Solomon Islands",Solomon Islands,3
poti-georgia,"Poti, Georgia",Georgia,3
tortola-virgin-islands-u-k-,"Tortola, Virgin Islands (U.K.)",Virgin Islands (U.K.),3
praia-grande-brazil,"Praia Grande, Brazil",Brazil,3
hithadhoo-maldives,"Hithadhoo, Maldives",Maldives,3
alta-vista-canary-islands-spain,"Alta Vista, Canary Islands, Spain",Spain,3
kingstown-saint-vincent-and-the-grenadines,"Kingstown, Saint Vincent and the Grenadines",Saint Vincent and the Grenadines,3
puerto-limon-costa-rica,"Puerto Limon, Costa Rica",Costa Rica,3
mogadishu-somalia,"Mogadishu, Somalia",Somalia,3
roxas-city-philippines,"Roxas City, Philippines",Philippines,3
kaunakakai-hi-united-states,"Kaunakakai, HI, United States",United States,3
alexandria-nsw-australia,"Alexandria, NSW, Australia",Australia,3
puerto-cortes-honduras,"Puerto Cortes, Honduras",Honduras,3
algiers-algeria,"Algiers, Algeria",Algeria,3
jacksonville-fl-united-states,"Jacksonville, FL, United States",United States,3
jask-iran,"Jask, Iran",Iran,3
bull-bay-jamaica,"Bull Bay, Jamaica",Jamaica,3
juneau-ak-united-states,"Juneau, AK, United States",United States,3
kawinda-nae-indonesia,"Kawinda Nae, Indonesia",Indonesia,3
kalba-united-arab-emirates,"Kalba, United Arab Emirates",United Arab Emirates,3
punta-cana-dominican-republic,"Punta Cana, Dominican Republic",Dominican Republic,3
puerto-plata-dominican-republic,"Puerto Plata, Dominican Republic",Dominican Republic,3
rostock-germany,"Rostock, Germany",Germany,3
apia-samoa,"Apia, Samoa",Samoa,3
chabahar-iran,"Chabahar, Iran",Iran,3
eydhafushi-maldives,"Eydhafushi, Maldives",Maldives,3
seixal-portugal,"Seixal, Portugal",Portugal,3
stockholm-sweden,"Stockholm, Sweden",Sweden,3
senggigi-indonesia,"Senggigi, Indonesia",Indonesia,3
stavanger-norway,"Stavanger, Norway",Norway,3
seward-ak-united-states,"Seward, AK, United States",United States,3
shantou-china,"Shantou, China",China,3
mykonos-greece,"Mykonos, Greece",Greece,3
farosund-sweden,"Farosund, Sweden",Sweden,3
zandvoort-netherlands,"Zandvoort, Netherlands",Netherlands,3
dawu-taiwan,"Dawu, Taiwan",Taiwan,3
st-davids-bermuda,"St. David’s, Bermuda",Bermuda,3
montego-bay-jamaica,"Montego Bay, Jamaica",Jamaica,3
sidi-kerir-egypt,"Sidi Kerir, Egypt",Egypt,3
sihanoukville-cambodia,"Sihanoukville, Cambodia",Cambodia,3
naousa-greece,"Naousa, Greece",Greece,3
dili-timor-leste,"Dili, Timor-Leste",Timor-Leste,3
southport-united-kingdom,"Southport, United Kingdom",United Kingdom,3
nanhui-china,"Nanhui, China",China,3
dongyin-taiwan,"Dongyin, Taiwan",Taiwan,3
dumaguete-philippines,"Dumaguete, Philippines",Philippines,3
so-miguel-portugal,"São Miguel, Portugal",Portugal,3
dublin-ireland,"Dublin, Ireland",Ireland,3
sedili-malaysia,"Sedili, Malaysia",Malaysia,3
nassau-bahamas,"Nassau, Bahamas",Bahamas,3
coxs-bazar-bangladesh,"Cox’s Bazar, Bangladesh",Bangladesh,3
cotonou-benin,"Cotonou, Benin",Benin,3
al-hudaydah-yemen,"Al Hudaydah, Yemen",Yemen,3
morib-malaysia,"Morib, Malaysia",Malaysia,3
tanjung-bemban-indonesia,"Tanjung Bemban, Indonesia",Indonesia,3
salvador-brazil,"Salvador, Brazil",Brazil,3
haramous-djibouti,"Haramous, Djibouti",Djibouti,3
haql-saudi-arabia,"Haql, Saudi Arabia",Saudi Arabia,3
